GEO_NAME,PC1,PC2,PC3
Abbotsford - Mission,-0.11967630549869611,-0.00920008950866867,0.2739776055463869
Alma,-1.7495712794570588,-0.22305199822721902,0.4597825230655102
Amos,-1.8955632745054396,-0.2951458808036758,0.3771199502987163
Baie-Comeau,-1.7340163493055092,0.38739655015382174,-0.5313019825267123
Barrie,-0.024743679413802736,-0.40355838803619154,0.29232346283379845
Bathurst,-1.7348314303995847,-0.14144618510868653,0.21922984436959936
Belleville - Quinte West,-0.9411291784031984,-0.0804116495753491,0.20920933025122201
Brandon,-1.491957978901166,0.2995416783956004,-0.4931053758094276
Brantford,-0.6609758831092071,-0.3593845080748309,0.3600866445481484
Brockville,-1.747728303855049,-0.30760949644606944,0.4331814017676221
Brooks,-1.9297712535997666,-0.16375710740948146,0.08458484610129804
Calgary,12.215964201584388,-0.19775028832742997,-1.9702246078765127
Campbell River,-1.6261265888352963,0.16962353311968545,-0.3270885235324559
Campbellton,-1.9327100696172337,-0.23596655361721822,0.3538636228106351
Campbellton (New Brunswick part),-1.9464302724337257,-0.2397381902212071,0.356693231924418
Campbellton (Quebec part),-2.08171047166112,-0.3707243845472307,0.388142970625005
Camrose,-1.8938749626344906,-0.2719654772285392,0.27095785525849425
Canmore,-1.9288448215686058,-0.3755523001619256,0.3765036438616485
Cape Breton,-1.0246259757925695,0.33744265520594713,-0.42032090448767384
Centre Wellington,-1.7792054459194337,-0.3164744760188314,0.3159651171749712
Charlottetown,-1.252241684728633,0.1830146657490251,-0.28524392643185503
Chatham-Kent,-1.0460205139299603,-0.2392338698326033,0.3127998682325045
Chilliwack,-0.8646513580649338,0.5324789119151541,-0.8494698352259237
Cobourg,-1.8715284413623283,-0.3596162478945162,0.41339563126638235
Collingwood,-1.8292629474296513,-0.3679488502987315,0.4046425158650465
Corner Brook,-1.7798882152848785,-0.3104083292574201,0.43786667239035576
Cornwall,-1.4394953185356787,-0.2282596139076084,0.41015974488708373
Courtenay,-1.3636092903627126,0.19617717804422935,-0.31265544138718504
Cowansville,-1.9270254812183194,-0.2948317907136418,0.4289597664087164
Cranbrook,-1.764284561802041,0.12394735263778747,-0.2259350398931497
Dawson Creek,-1.8967135868498268,-0.14644417261877135,0.08431446519113753
Dolbeau-Mistassini,-1.9156894270920304,-0.25441249178270486,0.3748759695388438
Drummondville,-1.0213229018776644,0.10556125756906978,0.2326598236887021
Duncan,-1.5444406155910433,0.13857572068813345,-0.17327659703355744
Edmonton,11.934218973316755,2.4157076033408935,-5.142650910065023
Edmundston,-1.8403422445653201,-0.1383760161913813,0.1622157673328228
Elliot Lake,-1.9663709978765147,-0.3827595459764013,0.3936702167234556
Essa,-1.8676716592460152,-0.3176277557260706,0.2915310027973657
Estevan,-1.9534356245939002,-0.21419401894352186,0.18090390814800517
Fort St. John,-1.7486066372884486,0.23017026533709983,-0.46127064879075724
Fredericton,-0.7946253337771004,1.656133616473955,-1.998217459305344
Gander,-1.9577171499345767,-0.3428668598651441,0.3535743314951592
Granby,-1.016804629196117,0.4489475068475743,0.20263488585645295
Grand Falls-Windsor,-1.9477981114870164,-0.3557870288472912,0.40335021354313355
Grande Prairie,-1.444179159977263,0.0809980431736077,-0.2685406273939211
Greater Sudbury / Grand Sudbury,-0.32371468691411187,0.054870645349955414,0.05297034495567499
Guelph,-0.44067307324789207,-0.42657715002160473,0.29598043028634774
Halifax,2.8866319616092135,2.314212108987511,-3.0937139301197987
Hamilton,5.810037665351557,-0.9028188844024918,0.1465593183726523
Hawkesbury,-1.9560542858539334,-0.3349436070867755,0.42719976130787496
Hawkesbury (Ontario part),-1.9764709509912142,-0.3431167767083871,0.4257511880736845
Hawkesbury (Quebec part),-2.07499023111634,-0.36637001050049467,0.3924618880753349
High River,-1.9271426674957526,-0.2298022643572467,0.1793618028083556
Ingersoll,-1.959335446622073,-0.37414118325728735,0.392194263321466
Joliette,-1.5193334486600851,-0.16586957666798408,0.5343085971878103
Kamloops,-0.7830968830742925,0.9015823553741397,-1.2230784219773851
Kawartha Lakes,-1.275507200118137,-0.19766789032387524,0.27106570128888874
Kelowna,0.4718105113524338,2.205673746077643,-2.6394705728022223
Kenora,-1.9384007445719644,-0.3132116870093595,0.33162711327318734
Kentville,-1.796121366490207,-0.12750359677462964,0.12057760027329255
Kingston,-0.31358375233183833,-0.20372488977165945,0.21949125745793932
Kitchener - Cambridge - Waterloo,3.645301451713956,-0.654982954457758,0.13168713815295735
Lachute,-1.9392538712019485,-0.31573685841966553,0.44822650357045996
Lacombe,-1.9402346988929176,-0.16674597488885556,0.12026238322793555
Ladysmith,-1.909579856301011,-0.17224155551498774,0.1699746878114269
Lethbridge,-0.8209913017861122,0.3491215475854015,-0.6033830426705152
Lloydminster,-1.733757080563886,-0.1425408132161648,0.04306064771714041
Lloydminster (Alberta part),-1.901386714372323,-0.262519688245923,0.22890369258534185
Lloydminster (Saskatchewan part),-1.9276447532986727,-0.25460142274770764,0.2052039325931956
London,3.360104538831936,-0.4590958719135107,-0.12075695011332081
Matane,-1.8831393372537464,-0.22331582089575197,0.2869874009204436
Medicine Hat,-1.2756150828783146,0.2918793186311859,-0.49502973803315825
Midland,-1.7971698367224684,-0.321237459652417,0.4516324811790824
Miramichi,-1.7674239399842528,0.1200524443615327,-0.23680082161134877
Moncton,-0.3221310518949066,1.230773374242375,-1.5029757859672532
Montréal,42.2080235043519,8.784859044233398,5.2571882560557865
Moose Jaw,-1.7219403289355977,-0.18555435620065538,0.24313107666065853
Nanaimo,-0.804131978209049,0.6368194682315611,-0.672554297467061
