GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)",k3_seg,k3_2_seg,k3mix
Salmon Arm,-0.290484881,-0.280219305,-0.274771232,-0.278754873,-0.272968813,-0.274999716,-0.279408257,-0.276091087,-0.273812434,-0.287047537,-0.26895014,-0.280523896,-0.285818967,-0.290497439,-0.287558201,-0.275945484,-0.264926735,-0.256411508,-0.293274768,-0.282772869,-0.270550901,-0.197822429,-0.325810881,-0.219536027,-0.285136726,-0.273682541,-0.263995595,-0.304228047,-0.230521672,-0.176693303,-0.217781426,-0.231647128,-0.230351145,-0.258559062,-0.269058096,-0.343217454,-0.263203007,-0.265271065,-0.267323844,-0.281554366,-0.291494297,-0.295658547,-0.297326492,-0.292821854,-0.289378976,-0.288241706,-0.254431364,0,7,7
Sarnia,-0.166093053,-0.171090524,-0.168745491,-0.175699936,-0.167195244,-0.17439155,-0.179772098,-0.180870083,-0.173841133,-0.177458708,-0.165877677,-0.154999123,-0.133909967,-0.120149527,-0.120481358,-0.114954477,-0.124672335,-0.127357874,-0.143103021,-0.173384272,-0.158710101,-0.168112529,-0.149169866,-0.171728037,-0.160548731,-0.162405574,-0.165991764,-0.13931666,-0.199285635,-0.109476348,-0.211529515,-0.604419762,-0.154341601,-0.188632572,-0.196223079,-0.077898527,-0.143383671,-0.133633799,-0.162900938,-0.158556814,-0.165509269,-0.167401131,-0.166354889,-0.164924359,-0.173237833,-0.161305447,-0.148686909,0,1,1
Saskatoon,0.290584755,0.225247173,0.200175277,0.214395027,0.184064619,0.22352401,0.228578001,0.188388113,0.135233945,0.275656982,0.099503002,0.10999762,0.121898487,0.123858358,0.066602586,0.045024008,0.067273764,0.150313375,0.234520963,0.110605354,0.13483354,0.042123074,0.279793188,-0.012689359,0.15916049,0.14005009,0.161063393,0.182779552,0.14326208,-0.097078741,0.101066055,0.29023456,-0.188123621,0.08347754,0.008348318,0.361624373,0.099387007,0.147449134,0.117106703,0.160372305,0.170083233,0.177605717,0.19417215,0.207975088,0.205948507,0.205993484,0.116920724,4,2,42
Sault Ste. Marie,-0.211525837,-0.208615974,-0.20223444,-0.196776708,-0.196553656,-0.202110127,-0.209504793,-0.204564612,-0.201095623,-0.204055234,-0.18959446,-0.181041155,-0.171735671,-0.174914757,-0.168042098,-0.164821188,-0.145999679,-0.139542459,-0.181593206,-0.184603616,-0.193516127,-0.182608292,-0.1918947,-0.188499388,-0.199045905,-0.181287048,-0.196721779,-0.192856277,-0.172618899,-0.14194627,-0.177664995,-0.569627649,-0.120559582,-0.243367364,-0.16772242,-0.159701338,-0.170045883,-0.203875933,-0.18423141,-0.175532834,-0.183612151,-0.199213451,-0.204282674,-0.200181615,-0.186167174,-0.179881485,-0.192418162,0,7,7
Sept-Îles,-0.267925154,-0.260992484,-0.26107737,-0.262335951,-0.256832097,-0.261037766,-0.265279955,-0.260700715,-0.257093293,-0.268248945,-0.253438689,-0.263743675,-0.277332431,-0.288135596,-0.288962208,-0.285311313,-0.271433382,-0.28661555,-0.294587786,-0.240700332,-0.259214905,-0.202902361,-0.300700785,-0.218572156,-0.270193054,-0.259388148,-0.253554509,-0.298452637,-0.202956057,-0.173741492,-0.226638301,0.702769608,-0.247242154,-0.264591059,-0.249107635,-0.33179593,-0.260231616,-0.237395387,-0.263527743,-0.27463821,-0.279548233,-0.278072159,-0.280422348,-0.280409861,-0.276226716,-0.272480219,-0.24882213,0,4,4
Shawinigan,-0.251945348,-0.254627744,-0.252671238,-0.250341987,-0.24267343,-0.24512525,-0.246828815,-0.240660015,-0.241977358,-0.252513827,-0.234555185,-0.222228971,-0.202529675,-0.199271261,-0.20401978,-0.193931198,-0.190100289,-0.173350393,-0.254709553,-0.196077944,-0.224913663,-0.200798551,-0.249285493,-0.212017835,-0.233642451,-0.217923345,-0.243528693,-0.233986567,-0.115015751,-0.176440291,-0.127128711,-0.559687046,0.225706117,-0.275761425,-0.238974067,-0.267691337,-0.198555175,-0.260428095,-0.198451725,-0.219073181,-0.220093592,-0.234386227,-0.255847416,-0.264220304,-0.267532849,-0.270228578,-0.226177443,0,7,7
Sherbrooke,0.022531332,0.030857389,0.01510477,0.065343817,0.021031736,-0.012699856,-0.013500963,0.013336477,-0.012031913,0.031693034,-0.007840729,0.024897926,0.06322015,0.109244456,0.123640374,0.158679609,0.109928452,0.155290178,-0.046877557,0.074716204,0.067654063,-0.135417955,0.148864758,-0.077268701,0.070711324,0.048710833,-0.035300215,0.119406127,0.381390046,-0.134861923,0.060168135,-0.082538074,0.33549768,-0.16048325,0.026715409,0.07274212,0.077864499,-0.10205916,0.092221152,0.077142651,0.109617771,0.081496666,0.041324595,0.01226134,-0.001589696,-0.043375752,-0.046058696,0,1,1
Sorel-Tracy,-0.265261853,-0.260727287,-0.256738721,-0.254883391,-0.250689734,-0.252003564,-0.253787531,-0.244203123,-0.247474061,-0.262539743,-0.238376846,-0.240316742,-0.230898953,-0.225841992,-0.220341362,-0.201525113,-0.223717968,-0.222775189,-0.26656423,-0.211122063,-0.236374652,-0.201038009,-0.267562733,-0.218186608,-0.242686517,-0.235104782,-0.245486397,-0.248737278,-0.165727495,-0.174163179,-0.160993231,-0.594479158,-0.120559582,-0.268835798,-0.213323474,-0.279678793,-0.216624445,-0.24921681,-0.220083475,-0.237935426,-0.247569539,-0.257573375,-0.266927443,-0.266199028,-0.252597232,-0.258407463,-0.232409926,0,7,7
Squamish,-0.26745516,-0.269876601,-0.274906815,-0.272932561,-0.254229401,-0.246254526,-0.245669029,-0.248632007,-0.250565957,-0.270755424,-0.261306816,-0.283247958,-0.301700914,-0.309687412,-0.311777324,-0.308599321,-0.301074776,-0.302747254,-0.290161039,-0.292398556,-0.259844683,-0.185533101,-0.321550089,-0.197945322,-0.275546123,-0.270986625,-0.24975775,-0.305476785,-0.222207044,-0.165982446,-0.221428375,-0.281350146,-0.247242154,-0.225047964,-0.229790522,-0.357057049,-0.270751947,-0.238615663,-0.273710934,-0.281554366,-0.288094263,-0.285689193,-0.284968001,-0.27537311,-0.269093287,-0.262910745,-0.250795749,0,7,7
St. Catharines - Niagara,0.298574658,0.275767301,0.309590587,0.284845013,0.259542805,0.242105722,0.222041025,0.231237565,0.275857952,0.275099987,0.328690298,0.415528405,0.483182463,0.561684968,0.605214805,0.605961229,0.595758126,0.627399947,0.546756649,0.402881995,0.273557668,0.080598849,0.516189216,0.093143652,0.359866875,0.353620988,0.267491282,0.506280593,0.067231918,-0.000765362,0.08100784,-0.097448979,0.698654389,0.268235391,0.329772417,0.819977354,0.431219109,0.13509384,0.432665132,0.525199551,0.459637443,0.400179939,0.346735601,0.287303914,0.227348794,0.247367386,0.256736084,4,2,42
