GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)",k3_seg,k3_2_seg,k3mix
Thunder Bay,-0.140243366,-0.14695755,-0.13756145,-0.110024246,-0.108270205,-0.135072237,-0.147087221,-0.15064295,-0.134219059,-0.148077205,-0.119118523,-0.10912592,-0.089658741,-0.088559879,-0.083977174,-0.10153856,-0.091054656,-0.08153697,-0.11597982,-0.094211407,-0.124009839,-0.167932935,-0.088297693,-0.119871789,-0.129283815,-0.104272362,-0.14113486,-0.107629948,-0.12834912,-0.133259511,-0.126086726,-0.251528335,-0.078332057,-0.218792559,-0.15030535,-0.013845383,-0.115998689,-0.13500661,-0.123313027,-0.108493273,-0.103389737,-0.101536187,-0.098738313,-0.101964974,-0.117062079,-0.112332256,-0.140896306,0,1,1
Tillsonburg,-0.286411597,-0.286451447,-0.277482888,-0.274912147,-0.269949685,-0.274075763,-0.279724562,-0.277973362,-0.274041464,-0.29025026,-0.270186559,-0.282485221,-0.293699323,-0.296549661,-0.289137709,-0.280501834,-0.270348941,-0.266536727,-0.290348613,-0.26823872,-0.276815024,-0.196770524,-0.328071179,-0.223584284,-0.286349589,-0.275281984,-0.264648163,-0.305476785,-0.230072233,-0.168343895,-0.242528576,-0.639211874,-0.23879665,-0.263474023,-0.265258008,-0.338895796,-0.264648549,-0.268970027,-0.267082821,-0.28399074,-0.29029969,-0.290729877,-0.293775202,-0.29174255,-0.29339153,-0.292463533,-0.257755355,0,7,7
Timmins,-0.253042001,-0.245743627,-0.24209578,-0.235669758,-0.23351194,-0.237015,-0.24693425,-0.244535289,-0.237396771,-0.250564343,-0.234555185,-0.24020778,-0.250902932,-0.263483862,-0.271061118,-0.26911096,-0.258781568,-0.267738024,-0.254559494,-0.221576451,-0.247768338,-0.199678229,-0.270121807,-0.199294741,-0.251955187,-0.240194833,-0.235697878,-0.269029261,-0.209922367,-0.168090882,-0.195899736,-0.385726483,-0.137450591,-0.258559062,-0.20825669,-0.276386102,-0.233248173,-0.216460028,-0.241956248,-0.255933151,-0.262915636,-0.262053984,-0.259398707,-0.257924366,-0.255049348,-0.244053252,-0.227839438,0,7,7
Trail,-0.297064802,-0.290562008,-0.286160186,-0.280035782,-0.27213595,-0.278798187,-0.281833264,-0.283177301,-0.279080109,-0.294845471,-0.27580665,-0.287824382,-0.295275394,-0.301863807,-0.30317778,-0.304042971,-0.292037765,-0.290219442,-0.301302935,-0.293673481,-0.276930403,-0.201029457,-0.3369435,-0.216258866,-0.294323041,-0.279808709,-0.270758571,-0.317495883,-0.235390599,-0.176693303,-0.24148659,-0.554716744,-0.255687659,-0.276655054,-0.268108074,-0.345326835,-0.276212881,-0.263821988,-0.278772402,-0.289963784,-0.299213292,-0.301595353,-0.30755421,-0.30307524,-0.298072843,-0.289648981,-0.260559972,0,7,7
Trois-Rivières,-0.088230662,-0.090603076,-0.098920355,-0.087550119,-0.088073283,-0.109920195,-0.100590347,-0.082659582,-0.107766172,-0.09042819,-0.096188554,-0.052901282,-0.008187992,0.021413426,0.035187928,0.069071407,0.048838263,0.054724447,-0.111177925,-0.029190213,-0.041778198,-0.178315152,0.011688032,-0.131245464,-0.037046324,-0.046853367,-0.118057687,-0.001877496,0.165434423,-0.15788605,0.018488726,-0.385726483,0.33549768,-0.197345457,0.040649065,-0.035659466,-0.024447722,-0.154073421,-0.017926033,-0.028171548,-0.008188797,-0.023237555,-0.068197212,-0.093690311,-0.105916096,-0.131471204,-0.11451213,0,1,1
Truro,-0.253825325,-0.243754646,-0.23965529,-0.239163146,-0.237051607,-0.243174684,-0.24672338,-0.244203123,-0.23098395,-0.251539085,-0.225225834,-0.228439832,-0.23647582,-0.239127358,-0.235083437,-0.228356948,-0.222272046,-0.232213952,-0.242929905,-0.219664063,-0.237201536,-0.196779076,-0.258820315,-0.201608031,-0.242694004,-0.233153261,-0.23421477,-0.24569348,-0.19134554,-0.176608966,-0.198244203,0.593422969,-0.171232611,-0.275314611,-0.241824133,-0.25513795,-0.213171207,-0.252381901,-0.215383541,-0.229447416,-0.23580726,-0.250068356,-0.258262294,-0.261522045,-0.255941027,-0.261784925,-0.217763591,0,4,4
Val-d'Or,-0.250692029,-0.254495145,-0.257416635,-0.254534052,-0.246317205,-0.248205092,-0.255579927,-0.253946667,-0.251024016,-0.25933702,-0.249504626,-0.253501202,-0.260238122,-0.273374079,-0.27737915,-0.27366731,-0.271071902,-0.277348401,-0.2852466,-0.223106362,-0.250571088,-0.201713622,-0.285372325,-0.214138351,-0.25511462,-0.254187444,-0.244833829,-0.279877667,-0.181907312,-0.172898117,-0.170110602,-0.430459199,-0.213460135,-0.272410315,-0.244040851,-0.313634677,-0.248265744,-0.234230296,-0.249970239,-0.264421161,-0.267694062,-0.267766759,-0.270052579,-0.271415663,-0.26039942,-0.264599476,-0.24331677,0,7,7
Vernon,-0.234085564,-0.219091276,-0.217012964,-0.229032322,-0.225495636,-0.221821114,-0.219521127,-0.215968988,-0.209798737,-0.223271573,-0.204768705,-0.196840714,-0.186405256,-0.17786706,-0.168568601,-0.163555536,-0.148891522,-0.142803123,-0.195811316,-0.208699705,-0.204986732,-0.175920571,-0.221525393,-0.204692417,-0.20558189,-0.206274572,-0.211552867,-0.187783282,-0.173592684,-0.170789681,-0.138330052,0.349878181,-0.112114077,-0.187292128,-0.176905966,-0.22869352,-0.188115153,-0.206888489,-0.191401823,-0.195102412,-0.20658535,-0.212543261,-0.218203734,-0.219429199,-0.220050962,-0.21647065,-0.194287907,0,4,4
Victoria,0.160239665,0.157489206,0.194345217,0.258644605,0.263186579,0.27218551,0.281084675,0.260136032,0.24436642,0.179436041,0.269229739,0.286734757,0.364007245,0.479168085,0.540981481,0.51812494,0.461648893,0.532669088,0.376664542,0.131386637,0.328372352,0.076151771,0.426426794,0.112228294,0.325794406,0.313574559,0.168716235,0.525870162,0.463937079,0.070415453,1.15998355,1.448314876,0.234151622,0.220202818,0.124884346,0.295821986,0.224908201,0.293805979,0.258707297,0.326360056,0.369858178,0.406452791,0.431966579,0.442723654,0.423963934,0.402730612,0.226196919,4,2,42
Victoriaville,-0.234242228,-0.229699177,-0.230300077,-0.23811513,-0.23642696,-0.238554921,-0.234492909,-0.226930475,-0.230182347,-0.233715235,-0.231070729,-0.229311532,-0.230414009,-0.219346924,-0.214900835,-0.196209372,-0.189377329,-0.18519175,-0.258798666,-0.194293049,-0.222091682,-0.198515147,-0.243426904,-0.208355126,-0.224785556,-0.22212817,-0.227511118,-0.238747378,-0.131944635,-0.176608966,-0.186000877,-0.579568253,-0.22190564,-0.276878462,-0.130038215,-0.270572443,-0.202972108,-0.252725103,-0.205622138,-0.221902518,-0.218163843,-0.226657177,-0.244199183,-0.250009472,-0.251482634,-0.267132572,-0.2325138,0,7,7
Wasaga Beach,-0.287038256,-0.280882299,-0.276940557,-0.274329916,-0.26828396,-0.272638504,-0.274979983,-0.273987367,-0.269002818,-0.287743781,-0.263105245,-0.266249812,-0.271513092,-0.263188631,-0.249299008,-0.246329214,-0.251190479,-0.268596093,-0.272078905,-0.263394004,-0.266777043,-0.189937418,-0.317198365,-0.218957705,-0.272671188,-0.268180055,-0.259308971,-0.280658128,-0.239435553,-0.176693303,-0.245915028,-0.614360365,-0.23879665,-0.244931215,-0.267158052,-0.304373981,-0.247141434,-0.261038233,-0.252018928,-0.26732909,-0.27881309,-0.286137254,-0.288093136,-0.285626496,-0.282468467,-0.281486783,-0.249860877,0,7,7
Wetaskiwin,-0.291894864,-0.288970823,-0.282635034,-0.279453551,-0.276716695,-0.279414156,-0.284469141,-0.282623691,-0.279767197,-0.292199743,-0.27827949,-0.291855994,-0.305822946,-0.31677294,-0.316515848,-0.308852451,-0.293483687,-0.293651719,-0.304266604,-0.28207166,-0.285107896,-0.198506595,-0.342529294,-0.220499898,-0.300230134,-0.280834767,-0.272301004,-0.329671072,-0.232394336,-0.176693303,-0.24435205,-0.485132519,-0.264133164,-0.265708096,-0.257657833,-0.36523733,-0.280710122,-0.274385001,-0.277205757,-0.295858235,-0.305645788,-0.308540296,-0.306986003,-0.303974659,-0.299410361,-0.298655545,-0.264611086,0,7,7
Weyburn,-0.291581535,-0.288307829,-0.282770617,-0.280268675,-0.277237234,-0.277668912,-0.281833264,-0.283177301,-0.279652682,-0.292060494,-0.279740714,-0.293490431,-0.308853852,-0.319134783,-0.320201366,-0.314927584,-0.298905893,-0.283869728,-0.303553823,-0.292717287,-0.283934876,-0.199421667,-0.342321451,-0.220885446,-0.298500681,-0.284717691,-0.270046679,-0.327485782,-0.231270738,-0.174753541,-0.250343465,-0.51495433,-0.272578669,-0.280676386,-0.274441554,-0.360452638,-0.281352585,-0.267597216,-0.28383387,-0.298216016,-0.307299858,-0.307532159,-0.3067019,-0.303614891,-0.296066566,-0.293870808,-0.264195587,0,7,7
Whitehorse,-0.259151927,-0.261788077,-0.258365715,-0.254068267,-0.243298077,-0.237425646,-0.24071358,-0.249296339,-0.247474061,-0.260172513,-0.252427073,-0.264942262,-0.274665234,-0.286511829,-0.291945724,-0.297208448,-0.296737011,-0.301374343,-0.27961938,-0.274485854,-0.248542339,-0.185883736,-0.302207651,-0.191391,-0.266464623,-0.25441881,-0.245723694,-0.291662627,-0.219660221,-0.175765591,-0.219344404,0.573541762,-0.129005087,-0.233984257,-0.21617354,-0.323101166,-0.267860863,-0.214095744,-0.267203332,-0.276445842,-0.283591516,-0.28154463,-0.269768476,-0.24767098,-0.233426141,-0.218440836,-0.247679508,0,4,4
Williams Lake,-0.275758393,-0.273058972,-0.269754669,-0.268740495,-0.262766244,-0.265657529,-0.269286489,-0.268561984,-0.264422232,-0.276325377,-0.259845593,-0.272024823,-0.281090754,-0.286068984,-0.289839713,-0.290373924,-0.288784442,-0.290562669,-0.27868151,-0.262565302,-0.270526864,-0.197437586,-0.314626301,-0.217029963,-0.277896981,-0.2694073,-0.258834376,-0.296891715,-0.232544149,-0.176693303,-0.223512345,0.628215081,-0.23879665,-0.268388984,-0.26620803,-0.32906917,-0.259830077,-0.254860586,-0.265275154,-0.277388954,-0.287451013,-0.291625999,-0.290792117,-0.283647772,-0.276449636,-0.277264956,-0.242693522,0,4,4
Windsor,0.324267681,0.358641527,0.397041486,0.345979298,0.284945119,0.225782561,0.214660569,0.253381985,0.320289642,0.332192007,0.345213364,0.371289639,0.396498556,0.411117489,0.420763374,0.401684903,0.382123203,0.378903057,0.493223028,0.462102278,0.229886682,0.1728244,0.434078034,0.13246958,0.309061387,0.334709336,0.30575549,0.355495548,-0.038760869,0.061307008,-0.010165868,0.091422488,-0.010768019,0.12681856,0.19106921,0.790754715,0.366571277,0.196069503,0.320951302,0.38381131,0.415069436,0.385393931,0.318893481,0.289282637,0.238048938,0.262003052,0.312309054,4,2,42
Winkler,-0.234555558,-0.239644084,-0.235994555,-0.244286781,-0.243402185,-0.249950336,-0.255052752,-0.256382553,-0.254001397,-0.237614202,-0.256698342,-0.273986147,-0.286667621,-0.296844891,-0.299316761,-0.295689664,-0.280108912,-0.275117421,-0.267352041,-0.218452884,-0.271502778,-0.171986618,-0.307806435,-0.213945577,-0.26823151,-0.266188296,-0.233502877,-0.297516084,-0.234416814,-0.170789681,-0.250082969,-0.211765921,-0.264133164,-0.239792847,-0.239607415,-0.314509298,-0.242563886,-0.26847429,-0.250271517,-0.261984788,-0.264569706,-0.275271778,-0.289371601,-0.291023014,-0.284697663,-0.287115885,-0.229085935,0,7,7
Winnipeg,1.086911787,0.974164977,0.996317411,1.126052777,0.944468305,0.935172788,0.954920328,0.93720166,0.90534506,1.022309205,0.837870509,0.885483566,0.929695512,0.976040765,0.961481603,0.894023754,0.85349366,0.933044259,1.201239861,0.945553978,0.827574417,0.661096437,1.141265625,0.940771612,0.921138,0.950796646,0.896744693,0.997268543,0.616821375,0.519765438,0.038546941,0.996017414,0.242597127,0.263543838,0.501726393,1.65261678,0.844483386,0.573744904,0.926037753,1.078963613,1.145433403,1.085264965,1.042788591,0.970862957,0.908368353,0.905972365,0.999128637,4,5,45
Wood Buffalo,-0.129120167,-0.177455265,-0.19491297,-0.203064806,-0.180729264,-0.140410629,-0.130112171,-0.153411002,-0.171436325,-0.145431477,-0.184086771,-0.212095461,-0.24775079,-0.287692751,-0.308969309,-0.314421322,-0.310834747,-0.313902156,-0.200425636,-0.225337481,-0.196857313,-0.138445389,-0.221499412,-0.191005452,-0.198491881,-0.215338082,-0.163974736,-0.247800725,-0.162506513,-0.162440272,-0.228722271,1.940374753,-0.272578669,-0.162493916,-0.205089951,-0.263369679,-0.24127896,0.025497809,-0.245993371,-0.254046926,-0.259607495,-0.257013299,-0.24917099,-0.236518175,-0.212248774,-0.188043683,-0.178395076,0,3,3
Woodstock,-0.229228956,-0.239776683,-0.236401303,-0.238464468,-0.226953146,-0.224695633,-0.231118986,-0.233020191,-0.233503272,-0.234132981,-0.235229596,-0.241297404,-0.252963948,-0.260088713,-0.255968042,-0.250885563,-0.239623106,-0.231184269,-0.233963868,-0.218835362,-0.244840593,-0.178674339,-0.268653912,-0.213367254,-0.243045884,-0.237066363,-0.221638007,-0.263175804,-0.212843723,-0.148355917,-0.232890212,-0.649152478,-0.23879665,-0.187292128,-0.191156295,-0.284566383,-0.226100773,-0.242924762,-0.232435868,-0.241000541,-0.240861364,-0.23617847,-0.239937634,-0.246231909,-0.248361759,-0.253341271,-0.226281318,0,7,7
Yellowknife,-0.271528444,-0.274384959,-0.271381662,-0.265247108,-0.256103342,-0.256725988,-0.263803864,-0.263025879,-0.264193202,-0.274654391,-0.265016076,-0.280197009,-0.299761134,-0.316625325,-0.32300938,-0.323280891,-0.317702875,-0.315446681,-0.296988733,-0.286278914,-0.269656713,-0.191673489,-0.327252795,-0.211053964,-0.285990222,-0.272918027,-0.256283429,-0.320851864,-0.218012276,-0.171717393,-0.23731865,-0.107389583,-0.247242154,-0.246048252,-0.27095814,-0.361996087,-0.282878434,-0.205668213,-0.285460771,-0.298687572,-0.306289037,-0.305067824,-0.301161886,-0.285626496,-0.2737746,-0.260096194,-0.24861438,0,7,7
Yorkton,-0.280615001,-0.275180552,-0.270703748,-0.270487189,-0.267138773,-0.269763985,-0.274136503,-0.271551481,-0.26854476,-0.280502842,-0.268725336,-0.281504558,-0.295032921,-0.304816111,-0.30510829,-0.298727231,-0.280108912,-0.274087737,-0.285621748,-0.275633287,-0.2757045,-0.195658755,-0.32516137,-0.211053964,-0.286821258,-0.273752957,-0.261325999,-0.311642426,-0.226926157,-0.176693303,-0.250082969,-0.455310708,-0.272578669,-0.275091203,-0.265574682,-0.331332895,-0.268423018,-0.262296643,-0.270758411,-0.283912147,-0.291861868,-0.293306227,-0.292922892,-0.291562666,-0.287595619,-0.282331148,-0.257547605,0,7,7
