GEO_NAME,0,Immigrants,Non-immigrants,Non-permanent residents
Saskatoon,311515.0,144500.0,249955.0,5490.0
Sault Ste. Marie,75420.0,13110.0,68400.0,930.0
Sept-Îles,27155.0,1245.0,26520.0,150.0
Shawinigan,47640.0,2475.0,46310.0,320.0
Sherbrooke,220105.0,40700.0,199560.0,3815.0
Sorel-Tracy,40455.0,2335.0,39275.0,160.0
Squamish,23955.0,11400.0,18495.0,685.0
St. Catharines - Niagara,425480.0,166995.0,340945.0,8235.0
St. John's,208820.0,23665.0,194935.0,4375.0
Steinbach,17575.0,9135.0,13585.0,255.0
Stratford,32485.0,7765.0,28625.0,300.0
Strathmore,14105.0,2925.0,12730.0,130.0
Summerside,17670.0,2690.0,15965.0,640.0
Swift Current,18060.0,5575.0,15685.0,245.0
Sylvan Lake,16435.0,2510.0,15285.0,80.0
Terrace,19510.0,3595.0,17435.0,440.0
Thetford Mines,26430.0,1090.0,25555.0,400.0
Thompson,12880.0,4500.0,10935.0,220.0
Thunder Bay,120960.0,21690.0,108275.0,2710.0
Tillsonburg,18295.0,4830.0,15985.0,20.0
Timmins,40310.0,3130.0,38290.0,650.0
Toronto,6142880.0,6442080.0,3030045.0,249980.0
Trail,13860.0,2340.0,12570.0,210.0
Trois-Rivières,155535.0,15620.0,146760.0,2415.0
Truro,45325.0,4825.0,42640.0,590.0
Val-d'Or,33420.0,1940.0,32420.0,265.0
Vancouver,2607015.0,2467105.0,1384550.0,133275.0
Vernon,65325.0,17020.0,56995.0,510.0
Victoria,388470.0,164395.0,306395.0,8730.0
Victoriaville,50550.0,3810.0,48565.0,415.0
Wasaga Beach,24585.0,8825.0,20170.0,140.0
Wetaskiwin,12115.0,3815.0,10420.0,100.0
Weyburn,11825.0,3280.0,10500.0,90.0
Whitehorse,31420.0,11195.0,25940.0,855.0
Williams Lake,23335.0,4440.0,21160.0,190.0
Windsor,415505.0,220915.0,309340.0,9255.0
Winkler,32215.0,19320.0,23785.0,270.0
Winnipeg,819715.0,506385.0,581540.0,30220.0
Wood Buffalo,73290.0,38930.0,57005.0,865.0
Woodstock,45950.0,15410.0,38855.0,285.0
Yellowknife,19910.0,7810.0,16300.0,345.0
Yorkton,19505.0,5480.0,17105.0,345.0
