GEO_NAME,0,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Ladysmith,31000.0,600.0,795.0,730.0,575.0,645.0,735.0,865.0,805.0,755.0,760.0,970.0,1210.0,1405.0,1515.0,1340.0,845.0,500.0,925.0
Lethbridge,247695.0,7450.0,8090.0,7380.0,9255.0,8915.0,8835.0,8550.0,7725.0,6920.0,8005.0,6545.0,7245.0,7560.0,6675.0,5480.0,3805.0,2595.0,5605.0
Lloydminster,73015.0,2545.0,2815.0,2485.0,2155.0,2280.0,2850.0,3120.0,2870.0,2375.0,2790.0,2050.0,2085.0,1880.0,1485.0,1055.0,675.0,465.0,1040.0
Lloydminster (Alberta part),39480.0,1295.0,1465.0,1345.0,1040.0,1075.0,1435.0,1595.0,1545.0,1310.0,1420.0,1185.0,1205.0,1085.0,890.0,660.0,440.0,320.0,855.0
Lloydminster (Saskatchewan part),33540.0,1250.0,1355.0,1135.0,1120.0,1205.0,1415.0,1525.0,1330.0,1065.0,1365.0,865.0,875.0,800.0,595.0,395.0,235.0,145.0,195.0
London,1087100.0,27030.0,31965.0,30980.0,36875.0,39980.0,37535.0,36210.0,33440.0,32250.0,30720.0,33100.0,37505.0,35720.0,30440.0,26330.0,18090.0,12260.0,26235.0
Matane,36950.0,645.0,905.0,845.0,845.0,740.0,865.0,925.0,1090.0,1015.0,820.0,970.0,1495.0,1830.0,1720.0,1545.0,1060.0,605.0,1110.0
Medicine Hat,152750.0,3770.0,4950.0,4430.0,4095.0,4015.0,4780.0,5280.0,5205.0,4560.0,4580.0,4545.0,5240.0,5680.0,5100.0,3835.0,2610.0,1770.0,3870.0
Midland,55790.0,1075.0,1195.0,1250.0,1300.0,1545.0,1680.0,1555.0,1365.0,1515.0,1215.0,1540.0,2240.0,2460.0,2315.0,2010.0,1445.0,955.0,2460.0
Miramichi,55195.0,1020.0,1365.0,1355.0,1385.0,1320.0,1325.0,1385.0,1520.0,1860.0,1305.0,1990.0,2260.0,2315.0,2335.0,2015.0,1245.0,855.0,1470.0
Moncton,315430.0,7020.0,8915.0,8220.0,9595.0,9955.0,10305.0,11085.0,10965.0,10905.0,8550.0,10170.0,10975.0,10390.0,9555.0,8420.0,5570.0,3535.0,7190.0
Montréal,8583470.0,218830.0,254360.0,227955.0,257910.0,291650.0,292510.0,298010.0,306385.0,280350.0,248540.0,274265.0,292705.0,275775.0,229190.0,195680.0,145490.0,98200.0,207860.0
Moose Jaw,69750.0,1755.0,2295.0,2000.0,1820.0,1960.0,2290.0,2385.0,2225.0,1970.0,2145.0,1860.0,2330.0,2525.0,2250.0,1790.0,1190.0,915.0,2315.0
Nanaimo,230920.0,4660.0,6070.0,5430.0,6330.0,6920.0,7320.0,7635.0,6795.0,6580.0,5660.0,7095.0,8150.0,8645.0,8645.0,7485.0,5195.0,3400.0,6875.0
Nelson,38240.0,735.0,1055.0,910.0,765.0,1125.0,1330.0,1335.0,1410.0,1390.0,890.0,1205.0,1250.0,1455.0,1455.0,1215.0,705.0,425.0,930.0
New Glasgow,68790.0,1300.0,1945.0,1830.0,1695.0,1590.0,1650.0,1745.0,2030.0,2145.0,1650.0,2365.0,2815.0,2940.0,2785.0,2465.0,1540.0,950.0,1880.0
Norfolk,134980.0,3165.0,3490.0,3465.0,3190.0,3345.0,3695.0,3685.0,3470.0,3415.0,3640.0,4140.0,5405.0,5955.0,5730.0,4730.0,3205.0,1930.0,3710.0
North Battleford,38750.0,1220.0,1310.0,1275.0,1085.0,1095.0,1255.0,1300.0,1205.0,1085.0,1290.0,955.0,1195.0,1290.0,1170.0,890.0,640.0,470.0,1295.0
North Bay,143470.0,3115.0,3735.0,3720.0,4100.0,4225.0,4440.0,4420.0,4015.0,4205.0,3580.0,4485.0,5935.0,5870.0,4870.0,4145.0,2835.0,2090.0,3900.0
Okotoks,60800.0,1650.0,2710.0,2490.0,1490.0,1165.0,1620.0,2135.0,2400.0,2405.0,2215.0,2030.0,1790.0,1800.0,1515.0,1270.0,815.0,450.0,870.0
Orillia,66820.0,1550.0,1570.0,1600.0,1690.0,2175.0,2275.0,1970.0,1680.0,1720.0,1525.0,1900.0,2460.0,2620.0,2335.0,2110.0,1530.0,1210.0,2980.0
Oshawa,830625.0,23510.0,27125.0,25290.0,24420.0,25525.0,28640.0,29950.0,28225.0,27620.0,26210.0,27570.0,30260.0,25535.0,20145.0,17280.0,11715.0,7865.0,16845.0
Ottawa - Gatineau,2976615.0,74165.0,90350.0,85865.0,95515.0,101490.0,101450.0,101965.0,97820.0,96800.0,86825.0,97960.0,107175.0,97735.0,80115.0,67345.0,45455.0,29605.0,61320.0
Ottawa - Gatineau (Ontario part),2270030.0,55070.0,67655.0,66645.0,75880.0,78860.0,77695.0,77215.0,72930.0,73650.0,64320.0,74835.0,81190.0,73085.0,60450.0,52025.0,35170.0,23545.0,49590.0
Ottawa - Gatineau (Quebec part),706585.0,19095.0,22695.0,19220.0,19635.0,22630.0,23755.0,24750.0,24895.0,23150.0,22505.0,23125.0,25985.0,24650.0,19665.0,15325.0,10280.0,6065.0,11725.0
Owen Sound,65425.0,1400.0,1655.0,1610.0,1590.0,1710.0,1845.0,1810.0,1740.0,1665.0,1605.0,1935.0,2565.0,2785.0,2550.0,2290.0,1570.0,1075.0,2590.0
Parksville,62105.0,700.0,970.0,1000.0,820.0,825.0,920.0,1135.0,1160.0,1270.0,985.0,1455.0,2185.0,3040.0,3605.0,4075.0,3100.0,1965.0,3690.0
Pembroke,47625.0,1170.0,1220.0,1190.0,1250.0,1475.0,1435.0,1440.0,1240.0,1270.0,1175.0,1380.0,1900.0,1890.0,1655.0,1410.0,1050.0,755.0,1795.0
Penticton,94755.0,1600.0,2045.0,2000.0,1890.0,2090.0,2475.0,2675.0,2530.0,2535.0,1850.0,2815.0,3760.0,4540.0,4105.0,3590.0,2700.0,1950.0,4460.0
Petawawa,36325.0,1400.0,1090.0,915.0,1365.0,2020.0,2050.0,1595.0,1125.0,920.0,1465.0,865.0,925.0,720.0,565.0,505.0,280.0,210.0,320.0
Peterborough,257245.0,5710.0,6585.0,6405.0,7975.0,8035.0,7890.0,7795.0,6775.0,6775.0,6635.0,7320.0,9230.0,9960.0,9245.0,8255.0,5760.0,3865.0,8830.0
