GEO_NAME,0,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
St. Catharines - Niagara,867210.0,19555.0,22085.0,22615.0,24930.0,26400.0,26150.0,24785.0,23985.0,24990.0,21160.0,27735.0,33310.0,33405.0,30475.0,26870.0,18590.0,12730.0,27685.0
St. John's,425165.0,9135.0,11655.0,11235.0,13645.0,13605.0,14630.0,15020.0,14735.0,14490.0,10775.0,14850.0,15570.0,14610.0,12870.0,10645.0,7185.0,4325.0,7160.0
Steinbach,35605.0,1265.0,1230.0,1090.0,1330.0,1260.0,1225.0,1275.0,1130.0,1000.0,1295.0,880.0,945.0,835.0,825.0,725.0,595.0,435.0,960.0
Stratford,66460.0,1530.0,1695.0,1705.0,1680.0,1965.0,2040.0,2100.0,1900.0,1960.0,1580.0,1995.0,2530.0,2625.0,2425.0,2015.0,1400.0,1000.0,2185.0
Strathmore,28675.0,745.0,1080.0,980.0,670.0,725.0,925.0,1015.0,1000.0,990.0,1005.0,940.0,905.0,815.0,785.0,690.0,465.0,325.0,555.0
Summerside,36315.0,745.0,1005.0,995.0,1175.0,915.0,970.0,1010.0,1010.0,1135.0,955.0,1140.0,1440.0,1365.0,1240.0,1145.0,775.0,575.0,1115.0
Swift Current,37485.0,945.0,1060.0,1115.0,1050.0,1085.0,1210.0,1315.0,1100.0,1060.0,1120.0,1060.0,1265.0,1295.0,1140.0,925.0,675.0,565.0,1550.0
Sylvan Lake,33035.0,1010.0,1265.0,1085.0,950.0,1090.0,1265.0,1405.0,1260.0,1085.0,1215.0,995.0,1015.0,980.0,775.0,545.0,275.0,185.0,230.0
Terrace,39205.0,1145.0,1195.0,1085.0,1115.0,1415.0,1455.0,1340.0,1210.0,1155.0,1185.0,1355.0,1380.0,1360.0,1125.0,910.0,585.0,340.0,495.0
Thetford Mines,56575.0,1100.0,1430.0,1160.0,1145.0,1290.0,1305.0,1395.0,1640.0,1345.0,1305.0,1485.0,2065.0,2425.0,2400.0,2270.0,1745.0,1230.0,3110.0
Thompson,26065.0,1095.0,1140.0,905.0,925.0,1070.0,1075.0,905.0,900.0,770.0,1135.0,785.0,795.0,570.0,400.0,270.0,170.0,90.0,80.0
Thunder Bay,246520.0,5550.0,6145.0,6125.0,7975.0,8735.0,7780.0,7280.0,6740.0,7085.0,5965.0,7815.0,9235.0,9780.0,8450.0,7235.0,4615.0,3230.0,7030.0
Tillsonburg,37230.0,885.0,885.0,965.0,895.0,970.0,1010.0,990.0,990.0,980.0,860.0,1095.0,1280.0,1365.0,1405.0,1390.0,1080.0,750.0,1640.0
Timmins,82290.0,1950.0,2420.0,2270.0,2580.0,2720.0,2815.0,2545.0,2500.0,2580.0,2285.0,2680.0,3220.0,3130.0,2525.0,1905.0,1305.0,910.0,1605.0
Toronto,12404445.0,289425.0,349955.0,357165.0,418430.0,466530.0,467160.0,443940.0,414950.0,414990.0,325675.0,431180.0,438475.0,381715.0,308525.0,258975.0,175000.0,126985.0,266305.0
Trail,28530.0,545.0,730.0,645.0,675.0,865.0,780.0,890.0,755.0,760.0,695.0,845.0,1035.0,1300.0,1225.0,990.0,615.0,450.0,950.0
Trois-Rivières,322970.0,7210.0,8270.0,7550.0,8940.0,9705.0,9005.0,9485.0,9810.0,8240.0,8035.0,8835.0,11815.0,13140.0,12175.0,10630.0,7985.0,5165.0,11000.0
Truro,92315.0,1925.0,2495.0,2360.0,2430.0,2550.0,2515.0,2555.0,2515.0,2860.0,2250.0,3095.0,3760.0,3725.0,3350.0,2930.0,2110.0,1415.0,2640.0
Val-d'Or,68080.0,2025.0,2090.0,1705.0,1770.0,2105.0,2270.0,2135.0,2075.0,1985.0,1970.0,2015.0,2610.0,2745.0,2190.0,1725.0,1215.0,740.0,1325.0
Vancouver,5285650.0,114775.0,131975.0,137415.0,174255.0,201270.0,210035.0,199405.0,178110.0,172885.0,125290.0,183290.0,184880.0,168455.0,144285.0,121230.0,80025.0,56105.0,118295.0
Vernon,134160.0,2555.0,3425.0,3195.0,2865.0,3105.0,3555.0,3845.0,3790.0,3785.0,3265.0,4005.0,5210.0,5790.0,5425.0,4825.0,3390.0,2430.0,5245.0
Victoria,794475.0,15140.0,17625.0,18365.0,23805.0,26575.0,27615.0,27585.0,25290.0,23615.0,17725.0,25090.0,27400.0,28490.0,27680.0,25040.0,16855.0,10875.0,24925.0
Victoriaville,105870.0,2550.0,3025.0,2705.0,2475.0,2580.0,2740.0,3135.0,3295.0,2895.0,2890.0,2835.0,3720.0,3975.0,4020.0,3505.0,2745.0,1870.0,4010.0
Wasaga Beach,49715.0,865.0,1095.0,985.0,920.0,1050.0,1080.0,1215.0,1170.0,1200.0,950.0,1410.0,2025.0,2280.0,2535.0,2525.0,1755.0,1015.0,1580.0
Wetaskiwin,25185.0,710.0,790.0,775.0,700.0,645.0,750.0,765.0,780.0,730.0,790.0,735.0,850.0,865.0,720.0,610.0,520.0,430.0,850.0
Weyburn,24500.0,720.0,815.0,770.0,665.0,620.0,835.0,890.0,755.0,735.0,795.0,670.0,775.0,740.0,640.0,505.0,400.0,355.0,1135.0
Whitehorse,63825.0,1755.0,1815.0,1670.0,1790.0,2250.0,2795.0,2840.0,2285.0,2140.0,1940.0,1885.0,2085.0,2150.0,1745.0,1310.0,750.0,385.0,625.0
Williams Lake,47205.0,1225.0,1390.0,1250.0,1160.0,1315.0,1420.0,1485.0,1415.0,1400.0,1360.0,1555.0,1760.0,1885.0,1760.0,1370.0,885.0,495.0,940.0
Windsor,845265.0,20375.0,25210.0,25840.0,27555.0,27620.0,25355.0,24435.0,24985.0,26930.0,23210.0,28470.0,31280.0,29830.0,25375.0,21615.0,14555.0,9775.0,20445.0
Winkler,65315.0,2540.0,2650.0,2495.0,2210.0,2245.0,2185.0,2160.0,1965.0,1855.0,2750.0,1695.0,1670.0,1655.0,1395.0,1100.0,780.0,615.0,1390.0
Winnipeg,1669350.0,44715.0,48420.0,47940.0,61050.0,59295.0,59905.0,59540.0,55865.0,52475.0,47990.0,50385.0,54875.0,51820.0,44510.0,37020.0,24280.0,16295.0,36590.0
Wood Buffalo,147675.0,5905.0,4995.0,4010.0,3980.0,5255.0,7520.0,8085.0,6615.0,5460.0,6060.0,4925.0,4510.0,3260.0,1705.0,825.0,410.0,190.0,260.0
Woodstock,93405.0,2710.0,2645.0,2480.0,2460.0,3035.0,3415.0,3295.0,3020.0,2750.0,2875.0,2650.0,3170.0,3045.0,2640.0,2335.0,1665.0,1175.0,2670.0
Yellowknife,40675.0,1360.0,1340.0,1190.0,1310.0,1635.0,1855.0,1745.0,1665.0,1410.0,1420.0,1325.0,1385.0,1115.0,725.0,425.0,235.0,95.0,215.0
Yorkton,39725.0,1070.0,1310.0,1215.0,1085.0,1105.0,1220.0,1255.0,1280.0,1220.0,1210.0,1160.0,1325.0,1310.0,1125.0,935.0,720.0,615.0,1420.0
