GEO_NAME,0,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Kingston,286565.0,16470.0,29560.0,19995.0,17770.0,15570.0,13050.0,10830.0,8410.0,6265.0,5050.0,10320.0
Kitchener - Cambridge - Waterloo,939205.0,52140.0,100930.0,66200.0,55525.0,50035.0,43130.0,33670.0,25610.0,19165.0,15225.0,37945.0
Lachute,22730.0,1685.0,810.0,2405.0,1760.0,1400.0,1065.0,745.0,425.0,325.0,210.0,680.0
Lacombe,20870.0,1080.0,2220.0,1595.0,1205.0,1020.0,905.0,785.0,635.0,465.0,390.0,835.0
Ladysmith,26240.0,1560.0,2120.0,2055.0,1755.0,1525.0,1170.0,900.0,665.0,525.0,385.0,1205.0
Lethbridge,194530.0,9465.0,18295.0,15985.0,12280.0,10605.0,8820.0,7180.0,5665.0,4085.0,3295.0,6835.0
Lloydminster,55545.0,2340.0,7000.0,3445.0,3325.0,3070.0,2580.0,2040.0,1675.0,1250.0,1075.0,2095.0
Lloydminster (Alberta part),30115.0,1225.0,4665.0,1905.0,1735.0,1495.0,1270.0,1070.0,880.0,685.0,605.0,1105.0
Lloydminster (Saskatchewan part),25435.0,1115.0,2330.0,1545.0,1590.0,1570.0,1315.0,970.0,790.0,565.0,470.0,995.0
London,892360.0,53035.0,79965.0,67010.0,56225.0,50220.0,41540.0,31550.0,23320.0,16655.0,12690.0,34800.0
Matane,31285.0,2265.0,1385.0,3085.0,2180.0,2130.0,1560.0,1015.0,685.0,515.0,320.0,975.0
Medicine Hat,122830.0,5945.0,12670.0,10125.0,8070.0,6795.0,5280.0,4390.0,3225.0,2385.0,2010.0,4455.0
Midland,45770.0,3185.0,2865.0,4210.0,3280.0,2575.0,2115.0,1555.0,1145.0,705.0,550.0,1550.0
Miramichi,46715.0,2925.0,2095.0,4235.0,3490.0,2960.0,2155.0,1545.0,1110.0,895.0,610.0,1715.0
Moncton,259805.0,14510.0,16845.0,20150.0,19060.0,17400.0,12830.0,9045.0,6515.0,4975.0,3455.0,9275.0
Montréal,6970975.0,393285.0,644570.0,557005.0,438305.0,400670.0,323005.0,242085.0,182815.0,146245.0,103945.0,258165.0
Moose Jaw,55925.0,3025.0,5540.0,4230.0,3570.0,3280.0,2420.0,1955.0,1480.0,1140.0,970.0,1995.0
Nanaimo,192095.0,11035.0,16005.0,15230.0,13295.0,11620.0,8990.0,6730.0,4980.0,3790.0,2810.0,7200.0
Nelson,32085.0,1820.0,2725.0,2690.0,2280.0,1795.0,1490.0,1070.0,865.0,615.0,520.0,1155.0
New Glasgow,57775.0,3805.0,3030.0,5245.0,3980.0,3715.0,2710.0,1795.0,1250.0,885.0,685.0,2335.0
Norfolk,111960.0,7335.0,8350.0,8895.0,7145.0,6365.0,5435.0,4115.0,3035.0,2275.0,1705.0,4060.0
North Battleford,29950.0,1560.0,2440.0,2280.0,1910.0,1760.0,1500.0,1110.0,875.0,625.0,525.0,1030.0
North Bay,119550.0,7690.0,10540.0,9350.0,7570.0,6730.0,5460.0,4425.0,3225.0,2300.0,1760.0,4070.0
Okotoks,46890.0,2120.0,8280.0,2810.0,2365.0,2020.0,1765.0,1550.0,1255.0,1065.0,980.0,2015.0
Orillia,55265.0,3550.0,3460.0,5020.0,4090.0,3370.0,2645.0,1860.0,1270.0,915.0,650.0,1705.0
Oshawa,669255.0,36915.0,83320.0,45570.0,37380.0,34185.0,28760.0,22985.0,18935.0,14755.0,12555.0,26440.0
Ottawa - Gatineau,2426765.0,119405.0,365265.0,147010.0,122850.0,112950.0,103025.0,93830.0,78370.0,65490.0,52665.0,88990.0
Ottawa - Gatineau (Ontario part),1859905.0,91435.0,303880.0,110570.0,91940.0,82245.0,74965.0,68800.0,58635.0,49825.0,41080.0,70840.0
Ottawa - Gatineau (Quebec part),566850.0,27965.0,61370.0,36445.0,30910.0,30705.0,28055.0,25025.0,19735.0,15665.0,11580.0,18150.0
Owen Sound,54430.0,3635.0,4210.0,4595.0,3810.0,3275.0,2490.0,1890.0,1330.0,865.0,705.0,1850.0
Parksville,54765.0,3415.0,4205.0,4855.0,3955.0,3405.0,2590.0,1905.0,1425.0,960.0,695.0,1655.0
Pembroke,39030.0,2600.0,2885.0,3115.0,2575.0,2165.0,1900.0,1480.0,1070.0,750.0,565.0,1290.0
Penticton,81360.0,4930.0,6075.0,7310.0,5825.0,4990.0,3840.0,2870.0,1935.0,1450.0,1000.0,2800.0
Petawawa,26750.0,1170.0,2610.0,1225.0,1160.0,1145.0,1275.0,1635.0,1540.0,1060.0,615.0,815.0
