GEO_NAME,0,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Lethbridge,48645.0,5625.0,825.0,3105.0,1295.0,20.0,2725.0,2750.0,32300.0
Lloydminster,13885.0,2385.0,105.0,110.0,435.0,5.0,1095.0,335.0,9420.0
Lloydminster (Alberta part),7640.0,1570.0,40.0,65.0,205.0,0.0,325.0,215.0,5225.0
Lloydminster (Saskatchewan part),6250.0,815.0,70.0,40.0,230.0,5.0,770.0,120.0,4200.0
London,222240.0,22505.0,38340.0,5250.0,585.0,240.0,24860.0,8205.0,122265.0
Matane,9175.0,1995.0,10.0,570.0,195.0,40.0,100.0,395.0,5860.0
Medicine Hat,32060.0,5365.0,230.0,500.0,1175.0,30.0,1755.0,1630.0,21370.0
Midland,11825.0,1620.0,535.0,770.0,5.0,80.0,540.0,470.0,7805.0
Miramichi,12305.0,1460.0,0.0,190.0,850.0,20.0,55.0,415.0,9315.0
Moncton,67180.0,14635.0,1305.0,3280.0,2675.0,140.0,2240.0,6875.0,36025.0
Montréal,1835700.0,758875.0,183500.0,150110.0,4370.0,6420.0,59765.0,89790.0,582875.0
Moose Jaw,15215.0,2245.0,640.0,360.0,265.0,80.0,445.0,430.0,10750.0
Nanaimo,49350.0,8270.0,1390.0,6265.0,1560.0,100.0,1985.0,2200.0,27575.0
Nelson,8505.0,1050.0,0.0,780.0,370.0,120.0,265.0,320.0,5595.0
New Glasgow,15480.0,1940.0,10.0,350.0,815.0,20.0,435.0,695.0,11220.0
Norfolk,27595.0,1890.0,385.0,570.0,130.0,90.0,945.0,770.0,22815.0
North Battleford,7865.0,1195.0,150.0,115.0,235.0,35.0,245.0,270.0,5620.0
North Bay,31180.0,4310.0,2080.0,1665.0,170.0,70.0,2105.0,2215.0,18575.0
Okotoks,10475.0,955.0,5.0,110.0,110.0,5.0,645.0,515.0,8140.0
Orillia,14425.0,2760.0,920.0,905.0,170.0,30.0,1245.0,360.0,8035.0
Oshawa,149045.0,11200.0,11415.0,5425.0,80.0,195.0,15705.0,7790.0,97240.0
