Geography,15 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over
"North Bay (CA), Ont. i82","10,600","36,000","53,600","56,000","42,400","6,200",148
"Orillia (CA), Ont. i83","11,200","34,000","40,800","44,000","36,400","6,950",149
"Oshawa (CMA), Ont. i84","9,500","40,400","58,800","63,600","47,200","4,960",416
"Ottawa - Gatineau (CMA), Ont./Que. i85","10,500","46,400","66,000","73,000","53,200","11,700",655
"Owen Sound (CA), Ont. i88","11,100","35,200","45,600","49,600","38,400","7,150",332
"Pembroke (CA), Ont. i89","11,700","39,600","52,000","53,600","40,800","10,300",320
"Petawawa (CA), Ont. i90","16,800","63,200","71,500","68,500","42,800","13,300",131
"Peterborough (CMA), Ont. i91","10,800","34,400","49,200","55,600","40,800","5,120",172
"Port Hope (CA), Ont. i92","11,500","39,600","52,400","56,800","42,000","5,120",388
"Sarnia (CA), Ont. i93","10,600","38,400","53,600","57,200","39,600","3,520",212
"Sault Ste. Marie (CA), Ont. i94","10,700","37,600","53,200","56,000","42,400","2,860",121
"St. Catharines - Niagara (CMA), Ont. i95","9,700","32,800","44,000","48,400","38,800","7,950",428
"Stratford (CA), Ont. i96","11,000","39,200","48,400","52,800","44,800","9,100",328
"Thunder Bay (CMA), Ont. i97","12,300","38,800","55,600","59,200","46,800","8,400",155
"Tillsonburg (CA), Ont. i98","13,300","40,400","46,400","51,600","43,600","8,500",368
"Timmins (CA), Ont. i99","12,700","46,400","60,400","64,000","48,400","8,900",282
"Toronto (CMA), Ont. i100","8,800","40,400","53,600","55,600","47,600","17,200",720
"Wasaga Beach (CA), Ont. i101","10,100","34,800","48,000","50,400","36,000","6,400",254
"Windsor (CMA), Ont. i102","10,800","34,800","48,000","55,200","43,200","3,520",344
"Woodstock (CA), Ont. i103","12,700","41,200","50,000","54,800","44,000","8,600",484
"Brandon (CA), Man. i105","12,400","38,800","48,800","54,000","44,000","14,000","2,420"
"Portage la Prairie (CA), Man. i106","14,100","36,400","47,600","54,400","42,400","14,700","3,960"
"Steinbach (CA), Man. i107","15,800","33,600","44,800","46,400","41,600","19,400","2,780"
"Thompson (CA), Man. i108","13,100","38,800","62,800","73,500","56,800","26,800",665
"Winkler (CA), Man. i109","15,200","37,600","41,200","42,400","36,800","17,200","5,920"
"Winnipeg (CMA), Man. i110","10,800","36,400","49,600","54,400","46,000","15,600","1,480"
"Estevan (CA), Sask. i112","12,400","50,400","59,200","60,800","51,600","14,800","5,320"
"Moose Jaw (CA), Sask. i113","10,700","40,000","50,400","54,400","41,600","12,500","2,400"
"North Battleford (CA), Sask. i114","11,200","42,000","48,800","50,800","43,600","15,100","4,640"
"Prince Albert (CA), Sask. i115","10,600","36,800","52,000","55,200","44,400","15,800","2,180"
"Regina (CMA), Sask. i116","10,900","44,000","59,200","63,200","52,400","14,800","3,760"
"Saskatoon (CMA), Sask. i117","10,500","41,600","54,400","57,600","48,400","13,800","2,680"
"Swift Current (CA), Sask. i118","11,400","44,400","50,000","54,000","44,000","13,200","8,400"
"Weyburn (CA), Sask. i119","10,900","45,200","51,200","57,600","44,000","15,400","2,480"
"Yorkton (CA), Sask. i120","12,600","43,200","53,200","53,600","42,400","12,700","1,660"
"Brooks (CA), Alta. i122","11,900","41,600","49,200","51,600","46,000","20,000","5,000"
"Calgary (CMA), Alta. i123","10,100","42,800","57,600","60,400","50,000","17,000","1,680"
"Camrose (CA), Alta. i124","13,100","38,400","49,600","54,000","43,600","16,200","4,240"
"Canmore (CA), Alta. i125","10,400","36,400","53,200","57,200","48,800","10,200","1,080"
"Edmonton (CMA), Alta. i126","11,600","44,400","57,200","61,200","53,200","18,800","2,140"
"Grande Prairie (CA), Alta. i127","15,500","49,200","58,800","61,200","52,800","24,200","4,160"
"High River (CA), Alta. i128","10,200","36,000","52,000","55,600","44,800","10,900","1,860"
"Lacombe (CA), Alta. i129","11,400","45,600","56,400","62,000","47,600","14,100","3,560"
"Lethbridge (CMA), Alta. i130","13,500","39,600","53,200","57,200","48,000","17,000","3,800"
"Lloydminster (CA), Alta./Sask. i131","12,100","44,400","52,800","54,400","45,600","18,600","7,400"
"Medicine Hat (CA), Alta. i134","11,600","38,800","50,800","53,200","40,000","13,500","3,180"
"Okotoks (CA), Alta. i135","10,100","45,200","63,200","69,500","52,800","15,700","1,180"
"Red Deer (CMA), Alta. i136","12,500","38,800","50,800","54,000","45,600","18,600","2,840"
"Strathmore (CA), Alta. i137","11,600","44,000","55,200","60,400","47,600","14,200","6,000"
"Sylvan Lake (CA), Alta. i138","12,200","47,200","53,200","56,000","42,800","14,600","2,760"
"Wetaskiwin (CA), Alta. i139","12,400","35,200","47,200","52,400","43,200","17,400","1,940"
"Wood Buffalo (CA), Alta. i140","15,200","77,000","100,000","103,000","92,000","51,200","2,860"
"Abbotsford - Mission (CMA), B.C. i142","12,500","39,600","47,600","51,600","44,000","16,400","2,440"
"Campbell River (CA), B.C. i143","11,800","38,400","48,800","50,800","40,400","11,100","1,230"
"Chilliwack (CMA), B.C. i144","13,600","40,400","50,400","53,200","42,800","14,200","1,500"
"Courtenay (CA), B.C. i145","11,300","36,400","46,400","50,000","36,000","8,500",720
"Cranbrook (CA), B.C. i146","13,300","40,400","54,800","56,000","45,200","12,200",860
"Dawson Creek (CA), B.C. i147","17,800","45,600","56,400","58,000","49,600","20,600","3,400"
"Duncan (CA), B.C. i148","11,300","34,000","46,000","50,400","40,800","13,700",600
"Fort St. John (CA), B.C. i149","18,000","54,800","66,500","70,000","58,000","27,000","4,960"
"Kamloops (CMA), B.C. i150","12,200","40,400","56,400","60,400","46,400","9,900",612
"Kelowna (CMA), B.C. i151","11,500","38,800","51,600","54,800","42,800","13,100","1,240"
"Ladysmith (CA), B.C. i152","11,300","34,800","50,000","52,800","39,600","9,500",910
"Nanaimo (CMA), B.C. i153","12,200","36,000","48,800","52,400","42,800","12,900",950
"Nelson (CA), B.C. i154","10,000","27,200","41,200","48,800","38,800","9,900",765
"Parksville (CA), B.C. i155","10,300","32,800","43,600","49,200","35,600","6,600",540
"Penticton (CA), B.C. i156","10,500","36,000","46,800","49,200","36,800","10,400",700
"Port Alberni (CA), B.C. i157","12,200","35,200","44,000","48,400","38,400","11,400","1,470"
"Powell River (CA), B.C. i158","11,200","32,800","40,800","45,600","36,000","7,300","1,210"
"Prince George (CA), B.C. i159","14,100","45,200","60,000","65,000","52,800","21,400","2,740"
"Prince Rupert (CA), B.C. i160","12,800","48,800","55,200","60,000","52,000","27,000","8,600"
"Quesnel (CA), B.C. i161","12,500","36,400","50,800","55,600","39,600","12,100",436
"Salmon Arm (CA), B.C. i162","10,300","35,600","46,000","51,600","37,200","10,700",880
"Squamish (CA), B.C. i163","9,600","45,200","60,800","60,400","49,200","18,600","3,480"
"Terrace (CA), B.C. i164","14,800","46,000","56,400","59,600","48,800","21,200","1,660"
"Trail (CA), B.C. i165","12,000","41,200","53,600","57,200","40,800","1,350",268
"Vancouver (CMA), B.C. i166","10,100","41,600","54,000","54,800","46,000","18,400","2,980"
"Vernon (CA), B.C. i167","10,600","35,600","48,400","53,200","39,200","11,100",950
"Victoria (CMA), B.C. i168","11,400","40,800","56,000","60,400","48,800","15,700","1,270"
"Williams Lake (CA), B.C. i169","13,700","42,400","53,200","55,200","46,400","15,100","2,600"
"Whitehorse (CA), Y.T. i171","15,400","54,000","72,500","78,000","65,500","19,200","6,240"
"Yellowknife (CA), N.W.T. i173","16,000","68,000","96,000","99,000","87,000","39,200","16,800"
