GEO_NAME,0,With children,Without children
Val-d'Or,28330.0,3510.0,4510.0
Vancouver,2174800.0,327035.0,288310.0
Vernon,58610.0,6315.0,10410.0
Victoria,329620.0,38365.0,56130.0
Victoriaville,43010.0,4970.0,7145.0
Wasaga Beach,23745.0,2290.0,4460.0
Wetaskiwin,9850.0,1195.0,1320.0
Weyburn,10060.0,1385.0,1460.0
Whitehorse,26175.0,3435.0,3755.0
Williams Lake,20640.0,2330.0,3420.0
Windsor,349840.0,49915.0,45215.0
Winkler,25710.0,4465.0,3380.0
Winnipeg,672315.0,99725.0,86330.0
Wood Buffalo,59550.0,10325.0,6565.0
Woodstock,40225.0,5465.0,5580.0
Yellowknife,16300.0,2545.0,1885.0
Yorkton,16460.0,2120.0,2475.0
